STARTUP_NAME,STARTUP_CONTACT,STARTUP_EMAIL,STARTUP_WEBSITE,STARTUP_ADDRESS,STARTUP_SEGMENT,STARTUP_METODOLOGY,STARTUP_DESCRIPTION,STARTUP_TAGS
ALTRONIC,(81)2121-9600,carolina@tron-ce.com.br,https://www.tron-ce.com.br/,"Rua Ministro Mario Andreza, 300 - Recife/PE. CEP: 50950050.",IndusTech,Diversas Techs/Meths,"NOSSO DNA

Manter viva uma marca por tantos anos, nos faz refletir que o que nos move é a nossa capacidade de se renovar, de aprender , e de considerar o cliente nosso maior professor.

Se fizermos uma analogia com as boas receitas da vida, eu diria que o nosso bolo tem massa recheada com ingredientes ricos em proteína – nosso time, um recheio mágico e impulsionador que é a busca pela inovação contínua, e A cereja: nossa gratidão aos que acreditam na nossa história: parceiros! E tudo isso abençoado por Deus, é o que impulsiona o desejo de fazer uma marca hoje com quase 50 anos celebrar 100 anos.

Sim, nós podemos! Sim nós somos Pernambucanos! Sim nós somos Brasileiros!

A partir de agora, queremos construir o novo, então serei Eu o elo com vocês! Afinal, como inovação está no nosso DNA, o que podemos juntos fazer por um mundo melhor?",
AL TECNOLOGIA E INIVAÇÃO,(81)98701-8632,aidanolima@gmail.com,https://aeatecnologia.com/,"AV PAULISTA , 1636 - SL1504SÃO PAULO /AC. CEP: 01310-200.",AgriTech,Alocação Profissionais,"Olhamos para o futuro e antecipamos tendências. Mas o importante mesmo são as pessoas. Trabalhamos para melhorar a vida dos nossos clientes, colaboradores buscando soluções",DESENVOLVIMENTO MOBILE; 
AGROBOOK,(81)99675-5325,manoel@agrobook.app,https://www.agrobook.app/,"AVENIDA DOUTOR PEDRO JORDAO, 429 - Andar 1Caruaru/PE. CEP: 55012-640.",Diversos Mercados,Consultoria em TIC,"A Agrobook é uma empresa de tecnologia que tem como foco contribuir para a evolução dos mais diversos setores, através da tecnologia. Nós atuamos com o desenvolvimento de software sob medida para clientes, estendemos também os nossos serviços para a alocação de profissionais da área de tecnologia em empresas. Além disso, trabalhamos também com desenvolvimento de produtos próprios.

Atualmente nós temos um produto, criado em parceria com produtores rurais do Mato Grosso, o sistema tá em fase final de desenvolvimento. O nosso produto, é um sistema de gestão voltada ao agronegócio, com foco de auxiliar os produtores rurais a gerenciar a produção, ter controle de fluxo de caixa, atividades do dia a dia e etc.",
AGORAX T.I.,(81)99971-9858,ALENCAR06@GMAIL.COM,https://www.instagram.com/omie.franquia.recife/,"Travessa do Amorim , 66 - sl 101Recife/AC. CEP: 50030-070.",FinTech,ERP,"ERP mais VENDIDO NO BRASIL desde 2022,  1milhão usuários, 150mil grandes, médias e pequenas empresas. 26mil escritórios contábeis parceiros 

R$1bilhão de investimentos. 

1o. e único ERP que é um aplicativo internet: basta login/senha e seu negócio já está a clic-de-tela, 24h/7d no ar e conectado com o mundo: compras, estoques, produção, serviços, vendas, pgtos/rctos, bancos, conciliações, tributos, contabilidade, KPIs

Oportunidade única para empresas de T.I. 

Omie é o único ERP com tecnologia de API-Application Program Interface, que permite a qualquer empresa de T.I. integrar seus aplicativos ao Omie e vendê-los na store.omie.com.br

Com 8 anos de estrada e 4mil clientes, a Omie Recife é uma das 5 campeãs de vendas entre 150 franquias no país.","B.I.; ,I.A.; ,DESENVOLVIMENTO WEB; ,ANÁLISE DE DADOS; ,lojas virtuais; ,e-commerce; ,marketplaces; ,compra online; ,venda online; ,loja virtual; ,consultoria; ,negócios; ,vendas; ,governança; ,compliance; ,proteção; ,lgpd; ,eficiência; ,produtividade; ,real time; ,Gestão escolar; ,fintech; ,pagamento recorrente; ,sistema de gestão; ,erp; ,cobranças; ,nota fiscal; ,saas; ,nuvem; ,internet; ,conectividade; ,gestão; ,GestãoÁgil; ,Desenvolvimento e Gestão de `Pessoas; ,Transformação Figital; ,Gestão de Projetos; ,AUTOMAÇÃO; ,AUTOMAÇÃO COMERCIAL; ,SPED; ,P&D; ,Gestão de Ativos; ,TRANSFORMAÇÃO DIGITAL; ,TI; ,Gestão da inovação; ,Inteligência Artificial; ,AWS; ,Software confecções vestuario; ,Mercado financeiro; ,Educação Financeira; ,Produtos financeiros; ,experiência do cliente; ,customer experiente; ,aceleração; ,varejo; ,shopping center; ,low-code; ,sulanca; ,atacado; ,vendas online; ,vende moda; ,venda mais; ,confecções; ,confecção; ,planejamento estrategico; ,indicadores; ,business inteligence; ,dashboards; ,WEB; ,Cloud; ,Agrícola; ,mobile; ,infraestrutura em nuvem; ,perfomance; ,RH; ,RECURSOS HUMANOS; ,FOLHA DE PAGAMENTO; ,interfaces digitais; ,web design; ,advogado; ,escritorio de advocacia; ,eventos; ,Desenvolvimento de Software ; ,SISTEMAS DE GESTÃO; ,CLÍNICA; ,Cloud Computing; ,Consultoria em TI; ,Soluções em Tecnologia; ,Integracao de Aplicacoes; ,Software confecções vestuario; ; ,gestão integrada; ,customer experience; ,aplicativo de venda; ,Redes sociais; ,logistica; ,mídia; ,software para aplicações em saúde; ,governança de dados; ,meio de pagamentos ; ,maquininhas; ,BPO; ,crescimento; ,produtos; ,agilidade; ,gesso; ,JOVENS DE COMUNIDADE; ,OPORTUNIDADES; ,antivirus; ,Contabilidade; ,Escritório de Contabilidade; ,JD Contadores; ,Empreendedorismo ; ,Gestão financeira; ,gestão de pessoas; ,consultoria financeira; ,diversos mercados; ,assistencia tecnica ; ,esg; ,CRM; ,Salesforce; ,IA; ,Logística; ,Transporte; ,Serviços de transporte de passageiros; ,Transporte de Carga; ,Aluguel de veículo; ,Terceirização de frotas; ,Comércio de veículos; ,Auditoria; ,Pagamentos digitais; ,Meios de pagamento; "
AGILIDATA,(81)3104-1310,contato@agilidata.com.br,https://www.agilidata.com.br/,"Tv. Do Amorim, 66 - Recife/PE. CEP: 50030070.",Diversos Mercados,Consultoria em TIC,"Somos uma empresa Microsoft Partner especializada em gestão e monitoramento de banco de dados. Nossa equipe técnica é formada por profissionais certificados com mais de 10 anos de experiência no mercado. Ajudamos empresas a aumentarem a disponibilidade dos seus bancos de dados e a otimizarem os recursos disponíveis. Prestamos consultoria e suporte em plataforma de dados Microsoft – SQL Server e Azure – planejamos, instalamos, configuramos, atualizamos, migramos, integramos, realizamos tuning, monitoramos e administramos ambientes de qualquer porte.","DBA; ,SQL SERVER; ,Manutenção de Banco; ,Atendimento DBA; "
AGILE ECOMMERCE,(81)99933-4546,contato@agileecommerce.com.br,https://www.agileecommerce.com.br/index.html,"Rua Laurindo Coelho, 88 - Recife/PE. CEP: 52060340.",IndusTech,Client Attendance,"A Agile E-commerce é uma plataforma de e-commerce B2B (para indústrias, atacadistas e distribuidoras), que trabalha sempre de forma integrada ao ERP, realizando a sincronização dos dados de forma automática, reduzindo drasticamente o trabalho de manutenção e mitigando problemas de divergência de dados.

Com uma usabilidade fluida e alta velocidade na navegação, trazemos a experiência das plataformas B2C (varejo) para o B2B, tornando a jornada de compra muito simples.

A plataforma Agile E-commerce atende o modelo B2B restrito (quando um cliente não pode realizar pedidos antes de passar pela análise da empresa) e o modelo híbrido (quando um cliente pode se cadastrar para realização da sua primeira compra através de pagamento antecipado).
Além desses modelos é possível utilizar a plataforma para solicitações de orçamento ou até mesmo para venda ao consumidor final.","e-commerce; ,erp; ,B2B; ,plataforma; "
AGÊNCIA ÓPERA,(81)99197-6371,felipe@agenciaopera.com.br,www.agenciopera.com.br,"Rua Barão de São Borja, 62 - Sala 501Recife/PE. CEP: 50070-325.",AgriTech,Alocação Profissionais,"Agencia de Publicidade com sede em Recife e especilista em Marketing Digital. Ja sao 17 anos de atuacao no segmento com muitos cases de sucesso e grandes contas conquistadas. Trabalhamos com uma equipe super profissional, temos sede fisica e nosso maior foco é transformar o negocio do nosso cliente, gerar lead qualificado e usar o Marketg Digital para alavancar vendas e fazer negocio. Atuamos em todo território nacional, geramos resultados com baixo investimento, temos no nosso portifolio um outro projeto para clientes de menor porte. ","DESENVOLVIMENTO WEB; ,e-commerce; ,marketplaces; ,loja virtual; ,consultoria; ,negócios; ,vendas; ,internet; ,Transformação Figital; ,TRANSFORMAÇÃO DIGITAL; ,marketing; ,varejo; ,Google; ,moda; ,sulanca; ,B2B; ,vendas online; ,catálogo virtual; ,confecções; ,planejamento estrategico; ,WEB; "
Agência Kottler,(81)99659-7024,thais.adour@agenciakottler.com,agenciakottler.com.br,"Arsenal da Marinha, 35 - sala 301Recife/PE. CEP: 50030-360.",Diversos Mercados,Comunicação e Mídia,"A nossa agência surge com a missão ousada de redefinir o cenário do mercado, estabelecendo um novo padrão de excelência.

Nossa abordagem se baseia em serviços excepcionais, processos organizados e atendimento personalizado. Mantemos nosso espírito empreendedor, buscando crescimento e inovação, mantendo nossa singularidade ao abraçar cada cliente e suas especificidades.

Nossa equipe altamente qualificada é movida pela paixão e criatividade, desafiando o status quo em busca de resultados excepcionais. Com visão de futuro, enfrentamos novos desafios com entusiasmo e sede de crescer.

Identidade Visual: 
Impactar nos primeiros segundos é um baita diferencial. Construímos uma identidade visual única e autêntica para a sua marca.

Gestão de Redes Sociais:
Não fazemos posts por fazer. Gerenciamos perfis com estratégia, criatividade e análise de métricas.

Endomarketing:
Alinhe a comunicação interna com a comunicação externa de maneira única para construir um branding fortalecido.

Gestão de Tráfego Pago:
Com uma gestão de anúncios estratégica você consegue expandir o seu alcance  e converter leads de acordo com o seu objetivo.

Desenvolvimento de Site: 
Tenha um site funcional que seja a sua vitrine de produtos e serviços, facilitando o contato e posicionamento da sua empresa frente ao mercado.

Captação Audiovisual:
Com a roteirização e captação de imagens e vídeos profissionais, os seus materiais institucionais transmitem mais autoridade.

Ativação de Marca:
Desenvolvemos estratégias personalizadas para a presença em eventos. Entendemos a essência da sua marca para construir uma experiência única.

Design para Eventos:
Te ajudamos a tirar o seu sonho do papel através da personalização de eventos como casamentos e formaturas.

Branding Pessoal:
Trabalhamos em cocriação com você para criar uma estratégia autêntica e coerente que reflita sua essência e diferencie você no meio digital.

","marketing; ,Produção Audiovisual; ,Produção de Conteúdo; ,branding; ,consultoria; ,eficiência; ,experiência do cliente; ,planejamento estrategico; ,perfomance; ,protagonismo feminino; ,empatia; ,web design; ,Video; ,Imagem; ,PUBLICIDADE; ,Instagram; ,Redes sociais; ,plataforma; ,mídia; ,linkedinads; ,metaads; ,googleads; ,Criação de Conteúdo; ,Vídeos; ,CRM; ,logo; ,identidade visual; ,gestão de marca; "
Agência Hexagonus,(81)99722-1627,juliana@hexagonus.com.br,hexagonus.com.br,"R do Espinheiro 280, 280 - Loja 07CXPT 72Recife/AC. CEP: 52020-025.",CommunityTech,Web Site ,"A Hexagonus é uma agência de comunicação que tem como missão melhorar os resultados do seu projeto, utilizando o meio digital!

Temos seis serviços principais: tráfego pago, desenvolvimento de sites, assessoria de mídias digitais, consultoria, planejamento para mídias digitais e planejamento para tráfego orgânico. 

Juntamente com atendimento humanizado, linguagem acessível, multidisciplinaridade, prazos, singularidade em cada projeto para oferecer o melhor para você no meio digital!
","TRANSFORMAÇÃO DIGITAL; ,lojas virtuais; ,e-commerce; ,venda online; ,loja virtual; ,consultoria; ,marketing; ,perfomance; ,ux design; ,web design; ,otimizacao; ,Redes sociais; ,Instagram; "
AFACON TECNOLOGIA,(81)98648-1859,amilcar.furtado@afaconprojetos.com.br,www.afaconprojetos.com.br,"RUA JOSE BONIFACIO, 100 - SALA 0000RECIFE/PE. CEP: 50710-435.",Diversos Mercados,Consultoria em TIC,"A AFACON é Especialista em Gestão de Tecnologia de informação.
Tem um programa de estruturação para Gestão Estratégica de TI. 
Fornece apoio consultivo em gestão de projetos de tecnologia.
Atua no desenvolvimento e suporte de programas para implantação de Escritórios de Projeto.
Desenvolve soluções. 
Realiza diagnósticos para melhorias de processos suportados por sistemas de informação. 
Desenvolve e apoia a formatação de RFPS para contratação de produtos e serviços de tecnologia de informação.  
","consultoria; ,governança; ,compliance; ,lean management; "
